Date,"Hospitalization, 0-4","Hospitalization, 5-12","Hospitalization, 13-17","Hospitalization, 0-17","Death Count, 0-17"
12/10/2021,0,1,1,2,0
12/9/2021,0,0,1,0,0
12/8/2021,5,2,1,8,0
12/7/2021,2,2,0,4,0
12/6/2021,4,2,2,8,0
12/3/2021,0,4,3,6,0
12/1/2021,4,0,3,7,0
11/30/2021,1,0,0,1,0
11/29/2021,5,1,0,6,0
11/26/2021,2,1,1,4,0
11/24/2021,0,0,1,1,0
11/23/2021,0,0,0,0,0
11/22/2021,0,0,0,0,0
11/21/2021,3,3,0,6,0
11/19/2021,0,0,0,0,0
11/18/2021,2,3,0,5,0
11/17/2021,0,0,0,0,0
11/16/2021,2,1,2,5,0
11/15/2021,3,7,2,12,0
11/12/2021,0,0,0,0,0
11/11/2021,1,0,0,1,0
11/10/2021,3,0,0,2,0
11/9/2021,0,0,0,0,0
11/8/2021,2,1,0,3,0
11/5/2021,2,1,2,5,0
11/4/2021,1,0,0,0,0
11/3/2021,4,1,1,6,0
11/2/2021,0,2,1,2,0
11/1/2021,3,6,1,10,0
10/29/2021,0,0,0,0,0
10/27/2021,3,0,1,4,0
10/26/2021,0,0,0,0,0
10/25/2021,4,1,1,6,0
10/22/2021,3,2,1,6,0
10/21/2021,1,0,0,1,0
10/20/2021,2,2,1,5,0
10/19/2021,2,2,1,5,0
10/18/2021,11,9,8,28,0
10/15/2021,0,0,0,0,0
10/14/2021,5,2,2,9,0
10/14/2021,0,0,1,1,0
10/12/2021,0,0,0,0,0
10/11/2021,3,11,2,16,1
10/8/2021,1,0,0,1,0
10/7/2021,8,9,4,21,0
10/6/2021,0,0,0,0,0
10/5/2021,1,0,0,1,0
10/4/2021,4,4,4,12,0
10/1/2021,8,2,4,14,0
9/30/2021,2,3,4,9,0
9/29/2021,0,0,0,0,0
9/28/2021,2,0,3,5,0
9/26/2021,6,0,1,7,0
9/24/2021,1,3,1,5,0
9/23/2021,3,2,0,5,0
9/22/2021,3,2,3,8,0
9/21/2021,0,2,3,5,0
9/20/2021,4,2,2,8,0
9/19/2021,7,4,7,18,0
9/17/2021,5,0,0,5,0
9/16/2021,0,0,0,0,0
9/15/2021,8,1,2,11,0
9/14/2021,2,3,0,5,0
9/13/2021,7,1,1,9,0
9/11/2021,3,1,1,5,0
9/10/2021,8,3,1,12,0
9/9/2021,8,2,5,15,0
9/7/2021,0,0,0,0,0
9/6/2021,6,2,2,10,0
9/5/2021,2,0,1,3,0
9/3/2021,2,0,1,3,0
9/2/2021,6,4,3,13,0
9/1/2021,1,2,0,3,0
8/31/2021,7,2,3,12,0
8/30/2021,0,0,1,0,0
8/28/2021,5,2,4,11,0
8/27/2021,2,3,0,5,0
8/26/2021,0,0,0,0,0
8/25/2021,4,0,3,7,0
8/24/2021,2,3,3,8,0
8/23/2021,4,3,2,9,0
8/22/2021,0,1,1,2,0
8/21/2021,5,3,2,10,0
8/20/2021,0,0,0,0,0
8/19/2021,0,0,0,0,0
8/18/2021,8,4,5,17,0
8/17/2021,0,0,0,0,0
8/16/2021,1,1,0,2,0
8/15/2021,0,1,0,1,0
8/14/2021,3,4,1,8,0
8/13/2021,2,1,0,3,0
8/12/2021,1,1,1,3,0
8/11/2021,11,2,4,17,0
8/8/2021,1,0,0,1,0
8/7/2021,4,4,5,13,0
8/6/2021,1,1,0,2,0
8/5/2021,2,0,1,3,0
8/4/2021,0,1,2,3,0
