Date,"Hospitalization, 0-4","Hospitalization, 5-12","Hospitalization, 13-17","Hospitalization, 0-17","Death Count, 0-17"
8/28/2025,5377,2331,2116,9824,67
8/21/2025,5364,2329,2116,9809,67
8/14/2025,5355,2326,2115,9796,67
8/7/2025,5348,2325,2112,9785,67
7/31/2025,5338,2325,2112,9775,67
7/24/2025,5325,2325,2111,9761,67
7/17/2025,5314,2320,2111,9745,67
7/10/2025,5305,2320,2111,9736,67
7/3/2025,5280,2303,2103,9686,67
6/26/2025,5275,2303,2102,9680,67
6/20/2025,5268,2301,2101,9670,67
6/12/2025,5284,2317,2109,9710,67
6/6/2025,5253,2299,2100,9652,65
5/30/2025,5248,2299,2100,9647,65
5/29/2025,5268,2315,2105,9688,65
5/29/2025,5222,2280,2081,9583,65
5/22/2025,5268,2315,2105,9688,65
5/15/2025,5266,2313,2102,9681,65
5/8/2025,5259,2312,2102,9673,65
5/1/2025,5250,2310,2102,9662,65
4/24/2025,5249,2308,2101,9658,65
4/17/2025,5242,2305,2097,9644,65
4/10/2025,5230,2304,2095,9629,64
4/3/2025,5221,2296,2094,9611,64
3/27/2025,5196,2290,2091,9577,64
3/20/2025,5175,2286,2078,9539,64
3/13/2025,5160,2278,2076,9514,64
3/6/2025,5147,2276,2071,9494,64
2/27/2025,5130,2269,2068,9467,64
2/20/2025,5112,2266,2066,9444,64
2/13/2025,5104,2261,2063,9428,64
2/6/2025,5100,2255,2061,9416,64
1/30/2025,5085,2253,2059,9397,64
1/23/2025,5074,2248,2057,9379,63
1/16/2025,5062,2243,2055,9360,63
1/9/2025,5058,2242,2053,9353,63
1/2/2025,5051,2239,2052,9342,62
12/26/2024,5040,2236,2051,9327,62
12/19/2024,5030,2234,2051,9315,62
12/12/2024,5025,2232,2050,9307,62
12/5/2024,5017,2230,2050,9297,62
11/29/2024,5014,2228,2049,9291,62
11/21/2024,5009,2227,2049,9285,62
11/14/2024,5005,2227,2049,9281,62
11/7/2024,5001,2224,2048,9273,62
10/31/2024,4997,2223,2045,9265,62
10/24/2024,4994,2221,2043,9258,62
10/17/2024,4983,2216,2042,9241,61
10/10/2024,4977,2211,2040,9228,61
10/3/2024,4975,2211,2038,9224,61
9/26/2024,4960,2208,2036,9204,61
9/19/2024,4938,2201,2032,9171,61
9/12/2024,4920,2196,2027,9143,61
9/5/2024,4902,2187,2019,9108,61
8/29/2024,4896,2183,2015,9094,61
8/22/2024,4881,2177,2012,9070,61
8/15/2024,4860,2177,2010,9047,61
8/8/2024,4846,2173,1998,9017,60
8/1/2024,4824,2165,1994,8983,60
7/25/2024,4797,2159,1989,8945,60
7/18/2024,4773,2155,1981,8909,60
7/11/2024,4755,2150,1974,8879,60
7/5/2024,4738,2145,1974,8857,60
6/27/2024,4718,2139,1973,8830,60
6/20/2024,4692,2138,1971,8801,60
6/13/2024,4678,2137,1965,8780,60
6/6/2024,4669,2134,1961,8764,60
5/30/2024,4657,2131,1959,8747,60
5/23/2024,4652,2129,1955,8736,60
5/16/2024,4651,2128,1952,8731,60
5/9/2024,4646,2127,1951,8724,61
5/2/2024,4641,2127,1951,8719,60
4/25/2024,4629,2125,1949,8703,60
4/18/2024,4626,2123,1948,8697,60
4/11/2024,4623,2121,1945,8689,60
4/4/2024,4609,2118,1941,8668,60
3/28/2024,4601,2113,1939,8653,58
3/21/2024,4577,2102,1935,8614,58
3/14/2024,4573,2102,1932,8607,58
3/7/2024,4567,2102,1931,8600,57
2/29/2024,4550,2095,1928,8573,56
2/22/2024,4535,2089,1925,8549,56
2/16/2024,4515,2088,1916,8519,56
2/8/2024,4501,2076,1909,8486,56
2/1/2024,4480,2065,1902,8447,56
